time,xaxis,yaxis,zaxis,State
2.173975,-0.09,-0.1,-0.07,
2.176673,-0.11,-0.1,-0.07,
2.178469,-0.12,-0.1,-0.07,
2.180914,-0.12,-0.1,-0.07,
2.183829,-0.13,-0.1,-0.07,
2.186708,-0.13,-0.1,-0.07,
2.189227,-0.12,-0.09,-0.07,
2.192047,-0.11,-0.08,-0.07,
2.194245,-0.1,-0.07,-0.06,
2.196825,-0.08,-0.07,-0.06,
2.198872,-0.06,-0.07,-0.05,
2.201201,-0.04,-0.06,-0.05,
2.204625,-0.02,-0.06,-0.04,
2.206274,0.01,-0.06,-0.03,
2.208746,0.03,-0.05,-0.02,
2.211264,0.06,-0.05,-0.01,
2.213804,0.08,-0.04,-0.01,
2.21661,0.1,-0.03,0,
2.218931,0.12,-0.02,0,
2.221451,0.13,-0.02,0.01,
2.224092,0.14,-0.01,0.02,
2.226572,0.15,-0.01,0.02,
2.229016,0.15,-0.01,0.02,
2.233223,0.16,-0.02,0.02,
2.234206,0.16,-0.03,0.02,
2.236871,0.15,-0.03,0.02,
2.239187,0.15,-0.03,0.02,
2.241649,0.15,-0.02,0.02,
2.245841,0.14,-0.02,0.02,
2.246638,0.13,-0.01,0.02,
2.249229,0.11,-0.01,0.01,
2.251807,0.1,0,0,
2.254384,0.08,0,0,
2.257158,0.06,0.01,-0.01,
2.259547,0.04,0.01,-0.02,
2.261995,0.02,0.01,-0.03,
2.264688,0,0.01,-0.03,
2.267725,-0.02,0.02,-0.04,
2.270283,-0.04,0.02,-0.04,
2.272676,-0.06,0.02,-0.05,
2.27516,-0.08,0.01,-0.05,
2.277409,-0.1,0.01,-0.05,
2.279686,-0.12,0.01,-0.05,
2.282183,-0.13,0,-0.05,
2.285333,-0.14,0,-0.05,
2.288123,-0.15,-0.01,-0.04,
2.290683,-0.16,-0.01,-0.03,
2.29299,-0.17,-0.01,-0.02,
2.295564,-0.17,-0.02,-0.02,
2.297657,-0.17,-0.02,-0.01,
2.299857,-0.17,-0.02,-0.01,
2.302416,-0.16,-0.02,0,
2.305358,-0.15,-0.02,0,
2.308109,-0.14,-0.02,0.01,
2.310614,-0.12,-0.02,0.01,
2.313549,-0.1,-0.02,0.02,
2.315709,-0.09,-0.02,0.02,
2.317894,-0.07,-0.01,0.03,
2.320151,-0.05,-0.01,0.03,
2.32263,-0.03,-0.01,0.03,
2.325492,0,0.01,0.04,
2.328359,0.02,0.02,0.04,
2.330918,0.04,0.02,0.05,
2.333432,0.06,0.03,0.05,
2.335949,0.08,0.04,0.05,
2.337988,0.11,0.06,0.05,
2.340334,0.13,0.06,0.05,
2.343022,0.15,0.07,0.05,
2.345421,0.18,0.08,0.05,
2.348609,0.2,0.08,0.05,
2.351266,0.22,0.09,0.06,
2.353643,0.24,0.1,0.06,
2.35623,0.25,0.11,0.05,
2.358185,0.26,0.12,0.05,
2.360523,0.27,0.14,0.05,
2.363403,0.28,0.15,0.05,
2.365864,0.29,0.16,0.05,
2.368945,0.29,0.17,0.05,
2.371431,0.29,0.18,0.05,
